CoordinateX, Density, Velocity, Pressure
    0.005000000,    1.000000000,    0.750000000,    1.000000000
    0.015000000,    1.000000000,    0.750000000,    1.000000000
    0.025000000,    1.000000000,    0.750000000,    1.000000000
    0.035000000,    1.000000000,    0.750000000,    1.000000000
    0.045000000,    1.000000000,    0.750000000,    1.000000000
    0.055000000,    1.000000000,    0.750000000,    1.000000000
    0.065000000,    1.000000000,    0.750000000,    1.000000000
    0.075000000,    1.000000000,    0.750000000,    1.000000000
    0.085000000,    1.000000000,    0.750000000,    1.000000000
    0.095000000,    1.000000000,    0.750000000,    1.000000000
    0.105000000,    1.000000000,    0.750000000,    1.000000000
    0.115000000,    1.000000000,    0.750000000,    1.000000000
    0.125000000,    1.000000000,    0.750000000,    1.000000000
    0.135000000,    1.000000000,    0.750000000,    1.000000000
    0.145000000,    1.000000000,    0.750000000,    1.000000000
    0.155000000,    1.000000000,    0.750000000,    1.000000000
    0.165000000,    1.000000000,    0.750000000,    1.000000000
    0.175000000,    1.000000000,    0.750000000,    1.000000000
    0.185000000,    1.000000000,    0.750000000,    1.000000000
    0.195000000,    1.000000000,    0.750000000,    1.000000000
    0.205000000,    1.000000000,    0.750000000,    1.000000000
    0.215000000,    1.000000000,    0.750000000,    1.000000000
    0.225000000,    1.000000000,    0.750000000,    1.000000000
    0.235000000,    1.000000000,    0.750000000,    1.000000000
    0.245000000,    1.000000000,    0.750000000,    1.000000000
    0.255000000,    1.000000000,    0.750000000,    1.000000000
    0.265000000,    1.000000000,    0.750000000,    1.000000000
    0.275000000,    1.000000000,    0.750000000,    1.000000000
    0.285000000,    1.000000000,    0.750000000,    1.000000000
    0.295000000,    1.000000000,    0.750000000,    1.000000000
    0.305000000,    1.000000000,    0.750000000,    1.000000000
    0.315000000,    1.000000000,    0.750000000,    1.000000000
    0.325000000,    1.000000000,    0.750000000,    1.000000000
    0.335000000,    1.000000000,    0.750000000,    1.000000000
    0.345000000,    1.000000000,    0.750000000,    1.000000000
    0.355000000,    1.000000000,    0.750000000,    1.000000000
    0.365000000,    1.000000000,    0.750000000,    1.000000000
    0.375000000,    1.000000000,    0.750000000,    1.000000000
    0.385000000,    1.000000000,    0.750000000,    1.000000000
    0.395000000,    1.000000000,    0.750000000,    1.000000000
    0.405000000,    1.000000000,    0.750000000,    1.000000000
    0.415000000,    0.994226919,    0.756846631,    0.991927029
    0.425000000,    0.959665729,    0.798513297,    0.943991275
    0.435000000,    0.926072421,    0.840179964,    0.898054992
    0.445000000,    0.893426522,    0.881846631,    0.854048191
    0.455000000,    0.861707850,    0.923513297,    0.811902856
    0.465000000,    0.830896512,    0.965179964,    0.771552903
    0.475000000,    0.800972900,    1.006846631,    0.732934139
    0.485000000,    0.771917692,    1.048513297,    0.695984220
    0.495000000,    0.743711849,    1.090179964,    0.660642609
    0.505000000,    0.716336610,    1.131846631,    0.626850543
    0.515000000,    0.689773495,    1.173513297,    0.594550985
    0.525000000,    0.664004298,    1.215179964,    0.563688594
    0.535000000,    0.639011089,    1.256846631,    0.534209679
    0.545000000,    0.614776208,    1.298513297,    0.506062169
    0.555000000,    0.591282267,    1.340179964,    0.479195572
    0.565000000,    0.579866687,    1.360905519,    0.466293567
    0.575000000,    0.579866687,    1.360905519,    0.466293567
    0.585000000,    0.579866687,    1.360905519,    0.466293567
    0.595000000,    0.579866687,    1.360905519,    0.466293567
    0.605000000,    0.579866687,    1.360905519,    0.466293567
    0.615000000,    0.579866687,    1.360905519,    0.466293567
    0.625000000,    0.579866687,    1.360905519,    0.466293567
    0.635000000,    0.579866687,    1.360905519,    0.466293567
    0.645000000,    0.579866687,    1.360905519,    0.466293567
    0.655000000,    0.579866687,    1.360905519,    0.466293567
    0.665000000,    0.579866687,    1.360905519,    0.466293567
    0.675000000,    0.579866687,    1.360905519,    0.466293567
    0.685000000,    0.579866687,    1.360905519,    0.466293567
