CoordinateX, Density, Velocity, Pressure
    0.005000000,    1.000000000,   -2.000000000,    0.400000000
    0.015000000,    1.000000000,   -2.000000000,    0.400000000
    0.025000000,    1.000000000,   -2.000000000,    0.400000000
    0.035000000,    1.000000000,   -2.000000000,    0.400000000
    0.045000000,    1.000000000,   -2.000000000,    0.400000000
    0.055000000,    1.000000000,   -2.000000000,    0.400000000
    0.065000000,    1.000000000,   -2.000000000,    0.400000000
    0.075000000,    1.000000000,   -2.000000000,    0.400000000
    0.085000000,    0.950421482,   -1.962929364,    0.372896980
    0.095000000,    0.883046768,   -1.908903668,    0.336470882
    0.105000000,    0.825486903,   -1.860375408,    0.306352841
    0.115000000,    0.772415708,   -1.813338755,    0.279383359
    0.125000000,    0.722640841,   -1.766972540,    0.254808618
    0.135000000,    0.675609989,   -1.720919466,    0.232253108
    0.145000000,    0.630998682,   -1.674981442,    0.211478895
    0.155000000,    0.588588245,   -1.629031408,    0.192313670
    0.165000000,    0.548217532,   -1.582978725,    0.174621794
    0.175000000,    0.509760745,   -1.536753048,    0.158290503
    0.185000000,    0.473116305,   -1.490295911,    0.143222544
    0.195000000,    0.438200971,   -1.443555960,    0.129331875
    0.205000000,    0.404946540,   -1.396486084,    0.116540971
    0.215000000,    0.373297768,   -1.349041606,    0.104779030
    0.225000000,    0.343210767,   -1.301179099,    0.093980689
    0.235000000,    0.314651450,   -1.252855599,    0.084085086
    0.245000000,    0.287593835,   -1.204028065,    0.075035123
    0.255000000,    0.262018119,   -1.154653007,    0.066776891
    0.265000000,    0.237908575,   -1.104686234,    0.059259216
    0.275000000,    0.215251364,   -1.054082683,    0.052433295
    0.285000000,    0.194032377,   -1.002796305,    0.046252427
    0.295000000,    0.174235264,   -0.950780019,    0.040671811
    0.305000000,    0.155839746,   -0.897985715,    0.035648417
    0.315000000,    0.138820312,   -0.844364353,    0.031140908
    0.325000000,    0.123145357,   -0.789866187,    0.027109620
    0.335000000,    0.108776779,   -0.734441240,    0.023516572
    0.345000000,    0.095670023,   -0.678040207,    0.020325507
    0.355000000,    0.083774535,   -0.620616167,    0.017501967
    0.365000000,    0.073034578,   -0.562127950,    0.015013367
    0.375000000,    0.063390128,   -0.502548384,    0.012829041
    0.385000000,    0.054778983,   -0.441872612,    0.010920577
    0.395000000,    0.047138266,   -0.380145912,    0.009261912
    0.405000000,    0.040407004,   -0.317510294,    0.007829700
    0.415000000,    0.034529808,   -0.254298195,    0.006603964
    0.425000000,    0.029462247,   -0.191228350,    0.005569204
    0.435000000,    0.025178965,   -0.129803817,    0.004716381
    0.445000000,    0.021682970,   -0.073036511,    0.004045833
    0.455000000,    0.019000836,   -0.026287651,    0.003568761
    0.465000000,    0.017082640,    0.003561947,    0.003296967
    0.475000000,    0.015731075,    0.013672460,    0.003208712
    0.485000000,    0.014447110,    0.010465554,    0.003223290
    0.495000000,    0.012458407,    0.003451722,    0.003250886
    0.505000000,    0.012458407,   -0.003451722,    0.003250886
    0.515000000,    0.014447110,   -0.010465554,    0.003223290
    0.525000000,    0.015731075,   -0.013672460,    0.003208712
    0.535000000,    0.017082640,   -0.003561947,    0.003296967
    0.545000000,    0.019000836,    0.026287651,    0.003568761
    0.555000000,    0.021682970,    0.073036511,    0.004045833
    0.565000000,    0.025178965,    0.129803817,    0.004716381
    0.575000000,    0.029462247,    0.191228350,    0.005569204
    0.585000000,    0.034529808,    0.254298195,    0.006603964
    0.595000000,    0.040407004,    0.317510294,    0.007829700
    0.605000000,    0.047138266,    0.380145912,    0.009261912
    0.615000000,    0.054778983,    0.441872612,    0.010920577
    0.625000000,    0.063390128,    0.502548384,    0.012829041
    0.635000000,    0.073034578,    0.562127950,    0.015013367
    0.645000000,    0.083774535,    0.620616167,    0.017501967
    0.655000000,    0.095670023,    0.678040207,    0.020325507
    0.665000000,    0.108776779,    0.734441240,    0.023516572
    0.675000000,    0.123145357,    0.789866187,    0.027109620
    0.685000000,    0.138820312,    0.844364353,    0.031140908
    0.695000000,    0.155839746,    0.897985715,    0.035648417
    0.705000000,    0.174235264,    0.950780019,    0.040671811
    0.715000000,    0.194032377,    1.002796305,    0.046252427
