CoordinateX, Density, Velocity, Pressure
    0.005000000,    1.000000000,    0.000000000,    0.010000000
    0.015000000,    1.000000000,    0.000000000,    0.010000000
    0.025000000,    1.000000000,    0.000000000,    0.010000000
    0.035000000,    1.000000000,    0.000000000,    0.010000000
    0.045000000,    1.000000000,    0.000000000,    0.010000000
    0.055000000,    1.000000000,    0.000000000,    0.010000000
    0.065000000,    1.000000000,    0.000000000,    0.010000000
    0.075000000,    1.000000000,    0.000000000,    0.010000000
    0.085000000,    1.000000000,    0.000000000,    0.010000000
    0.095000000,    1.000000000,    0.000000000,    0.010000000
    0.105000000,    1.000000000,    0.000000000,    0.010000000
    0.115000000,    1.000000000,    0.000000000,    0.010000000
    0.125000000,    1.000000000,    0.000000000,    0.010000000
    0.135000000,    1.000000000,    0.000000000,    0.010000000
    0.145000000,    1.000000000,   -0.000000000,    0.010000000
    0.155000000,    1.000000000,   -0.000000000,    0.010000000
    0.165000000,    1.000000168,   -0.000000020,    0.010000002
    0.175000000,    1.001386933,   -0.000668780,    0.010135975
    0.185000000,    1.057749481,   -0.279207213,    0.657680639
    0.195000000,    1.566419573,   -4.608533806,   31.436610741
    0.205000000,    2.847170402,  -12.112022356,  157.839395241
    0.215000000,    4.019957101,  -16.651907419,  309.838359026
    0.225000000,    4.427368943,  -18.633265021,  403.530298241
    0.235000000,    4.247952494,  -19.378404191,  442.754698491
    0.245000000,    3.792202717,  -19.625842436,  455.470062508
    0.255000000,    3.239356924,  -19.697700934,  458.628131109
    0.265000000,    2.677389406,  -19.716401305,  459.035626672
    0.275000000,    2.155071855,  -19.722002156,  458.856383636
    0.285000000,    1.702503272,  -19.725568749,  458.618993779
    0.295000000,    1.335805101,  -19.729736642,  458.404048911
    0.305000000,    1.058225370,  -19.734450126,  458.224704194
    0.315000000,    0.862265590,  -19.739465772,  458.075322404
    0.325000000,    0.733528810,  -19.744651989,  457.946866021
    0.335000000,    0.655031293,  -19.750011958,  457.829946841
    0.345000000,    0.610748603,  -19.755597364,  457.717198903
    0.355000000,    0.587728844,  -19.761483165,  457.603225199
    0.365000000,    0.576759049,  -19.767747839,  457.484243424
    0.375000000,    0.572000896,  -19.774451765,  457.357874714
    0.385000000,    0.570140857,  -19.781628680,  457.222864721
    0.395000000,    0.569492694,  -19.789295711,  457.078610925
    0.405000000,    0.569288476,  -19.797470413,  456.924670575
    0.415000000,    0.569216897,  -19.806182484,  456.760445504
    0.425000000,    0.569166778,  -19.815478310,  456.585050337
    0.435000000,    0.569103807,  -19.825422466,  456.397264758
    0.445000000,    0.569019085,  -19.836098599,  456.195509979
    0.455000000,    0.568910579,  -19.847609440,  455.977846989
    0.465000000,    0.568777412,  -19.860076723,  455.741978854
    0.475000000,    0.568618357,  -19.873645324,  455.485173102
    0.485000000,    0.568431338,  -19.888498303,  455.203977509
    0.495000000,    0.568212920,  -19.904887497,  454.893641371
    0.505000000,    0.567957646,  -19.923175680,  454.547319716
    0.515000000,    0.567657570,  -19.943866201,  454.155520590
    0.525000000,    0.567303075,  -19.967556976,  453.706994403
    0.535000000,    0.566887024,  -19.994697230,  453.193364995
    0.545000000,    0.566415134,  -20.024975626,  452.620719753
    0.555000000,    0.565924711,  -20.056211322,  452.030520629
    0.565000000,    0.565509434,  -20.082882278,  451.527223399
    0.575000000,    0.565339358,  -20.094935730,  451.300540671
    0.585000000,    0.565658343,  -20.077957640,  451.622648534
    0.595000000,    0.566746542,  -20.015469359,  452.806849592
    0.605000000,    0.568857014,  -19.892821464,  455.137895247
    0.615000000,    0.572156635,  -19.700827677,  458.807206309
    0.625000000,    0.576700050,  -19.437332895,  463.884299826
    0.635000000,    0.582442189,  -19.106355673,  470.330174440
    0.645000000,    0.589273121,  -18.715832159,  478.034897270
    0.655000000,    0.597054854,  -18.275266146,  486.857272157
    0.665000000,    0.605648229,  -17.794036637,  496.653867990
    0.675000000,    0.614927772,  -17.280488953,  507.295114345
    0.685000000,    0.624787361,  -16.741613885,  518.671544459
    0.695000000,    0.635140495,  -16.183065576,  530.694232389
    0.705000000,    0.645918042,  -15.609331244,  543.292506344
    0.715000000,    0.657065202,  -15.023943574,  556.410773472
    0.725000000,    0.668538507,  -14.429683247,  570.005366334
    0.735000000,    0.680303213,  -13.828751930,  584.041774045
    0.745000000,    0.692331145,  -13.222912308,  598.492342549
    0.755000000,    0.704598976,  -12.613598590,  613.334405915
    0.765000000,    0.717086829,  -12.002003003,  628.548767370
    0.775000000,    0.729777159,  -11.389143853,  644.118441484
    0.785000000,    0.742653812,  -10.775920013,  660.027575163
    0.795000000,    0.755701197,  -10.163155884,  676.260474315
    0.805000000,    0.768903538,   -9.551640110,  692.800670827
    0.815000000,    0.782244124,   -8.942160805,  709.629969002
    0.825000000,    0.795704533,   -8.335539645,  726.727411509
    0.835000000,    0.809263770,   -7.732666958,  744.068102284
    0.845000000,    0.822897280,   -7.134539900,  761.621818217
    0.855000000,    0.836575766,   -6.542305720,  779.351334044
    0.865000000,    0.850263779,   -5.957312183,  797.210378034
    0.875000000,    0.863918005,   -5.381167025,  815.141134573
    0.885000000,    0.877485204,   -4.815807863,  833.071222689
    0.895000000,    0.890899810,   -4.263582718,  850.910123439
    0.905000000,    0.904081218,   -3.727338691,  868.545131614
    0.915000000,    0.916930987,   -3.210511310,  885.837111610
    0.925000000,    0.929330405,   -2.717198360,  902.616701057
    0.935000000,    0.941139253,   -2.252188514,  918.682185248
    0.945000000,    0.952197181,   -1.820896818,  933.801062940
    0.955000000,    0.962329639,   -1.429140230,  947.718173844
    0.965000000,    0.971360592,   -1.082679075,  960.173648236
    0.975000000,    0.979133462,   -0.786477203,  970.932887373
    0.985000000,    0.985539224,   -0.543722384,  979.827102630
    0.995000000,    0.990545948,   -0.354803874,  986.796301752
