Iter, Time, Residual(RHO), CL, CD
    386,    1.50125028,  3.48336567e-02,    0.0792078947,    0.0258821501
    387,    1.50513661,  3.45071322e-02,    0.0792078948,    0.0258821501
    388,    1.50902293,  3.41836508e-02,    0.0792078950,    0.0258821501
    389,    1.51290926,  3.38632413e-02,    0.0792078951,    0.0258821501
    390,    1.51679559,  3.35459316e-02,    0.0792078952,    0.0258821501
    391,    1.52068191,  3.32317487e-02,    0.0792078953,    0.0258821501
    392,    1.52456824,  3.29207184e-02,    0.0792078954,    0.0258821501
    393,    1.52845456,  3.26128655e-02,    0.0792078955,    0.0258821502
    394,    1.53234089,  3.23082136e-02,    0.0792078955,    0.0258821502
    395,    1.53622722,  3.20067852e-02,    0.0792078956,    0.0258821502
    396,    1.54011354,  3.17086015e-02,    0.0792078957,    0.0258821502
    397,    1.54399987,  3.14136825e-02,    0.0792078957,    0.0258821502
    398,    1.54788620,  3.11220470e-02,    0.0792078958,    0.0258821502
    399,    1.55177252,  3.08337122e-02,    0.0792078958,    0.0258821502
    400,    1.55565885,  3.05486942e-02,    0.0792078958,    0.0258821502
    401,    1.55954517,  3.02670073e-02,    0.0792078959,    0.0258821502
    402,    1.56343150,  2.99886648e-02,    0.0792078959,    0.0258821502
    403,    1.56731783,  2.97136510e-02,    0.0792078959,    0.0258821502
    404,    1.57120415,  2.94419702e-02,    0.0792078960,    0.0258821502
    405,    1.57509048,  2.91736597e-02,    0.0792078960,    0.0258821502
    406,    1.57897681,  2.89087258e-02,    0.0792078960,    0.0258821502
    407,    1.58286313,  2.86471732e-02,    0.0792078960,    0.0258821502
    408,    1.58674946,  2.83890049e-02,    0.0792078960,    0.0258821502
    409,    1.59063579,  2.81342222e-02,    0.0792078960,    0.0258821502
    410,    1.59452211,  2.78828246e-02,    0.0792078961,    0.0258821502
    411,    1.59840844,  2.76348098e-02,    0.0792078961,    0.0258821502
    412,    1.60229476,  2.73901735e-02,    0.0792078961,    0.0258821502
    413,    1.60618109,  2.71489095e-02,    0.0792078961,    0.0258821502
    414,    1.61006742,  2.69110096e-02,    0.0792078961,    0.0258821502
    415,    1.61395374,  2.66764637e-02,    0.0792078961,    0.0258821502
    416,    1.61784007,  2.64452594e-02,    0.0792078961,    0.0258821502
    417,    1.62172640,  2.62173822e-02,    0.0792078961,    0.0258821502
    418,    1.62561272,  2.59928158e-02,    0.0792078961,    0.0258821502
    419,    1.62949905,  2.57715414e-02,    0.0792078961,    0.0258821502
    420,    1.63338537,  2.55535381e-02,    0.0792078961,    0.0258821502
    421,    1.63727170,  2.53387831e-02,    0.0792078961,    0.0258821502
    422,    1.64115803,  2.51272510e-02,    0.0792078961,    0.0258821502
    423,    1.64504435,  2.49189146e-02,    0.0792078961,    0.0258821502
    424,    1.64893068,  2.47137445e-02,    0.0792078961,    0.0258821502
    425,    1.65281701,  2.45117090e-02,    0.0792078961,    0.0258821502
    426,    1.65670333,  2.43127744e-02,    0.0792078962,    0.0258821502
    427,    1.66058966,  2.41169050e-02,    0.0792078962,    0.0258821502
    428,    1.66447599,  2.39240630e-02,    0.0792078962,    0.0258821502
    429,    1.66836231,  2.37342085e-02,    0.0792078962,    0.0258821502
    430,    1.67224864,  2.35472999e-02,    0.0792078962,    0.0258821502
    431,    1.67613496,  2.33632934e-02,    0.0792078962,    0.0258821502
    432,    1.68002129,  2.31821435e-02,    0.0792078962,    0.0258821502
    433,    1.68390762,  2.30038030e-02,    0.0792078962,    0.0258821502
    434,    1.68779394,  2.28282229e-02,    0.0792078962,    0.0258821502
    435,    1.69168027,  2.26553525e-02,    0.0792078962,    0.0258821502
    436,    1.69556660,  2.24851397e-02,    0.0792078962,    0.0258821502
    437,    1.69945292,  2.23175306e-02,    0.0792078962,    0.0258821502
    438,    1.70333925,  2.21524703e-02,    0.0792078962,    0.0258821502
    439,    1.70722557,  2.19899024e-02,    0.0792078962,    0.0258821502
    440,    1.71111190,  2.18297691e-02,    0.0792078962,    0.0258821502
    441,    1.71499823,  2.16720116e-02,    0.0792078962,    0.0258821502
    442,    1.71888455,  2.15165703e-02,    0.0792078962,    0.0258821502
    443,    1.72277088,  2.13633844e-02,    0.0792078962,    0.0258821502
    444,    1.72665721,  2.12123922e-02,    0.0792078962,    0.0258821502
    445,    1.73054353,  2.10635314e-02,    0.0792078962,    0.0258821502
    446,    1.73442986,  2.09167392e-02,    0.0792078962,    0.0258821502
    447,    1.73831618,  2.07719520e-02,    0.0792078962,    0.0258821502
    448,    1.74220251,  2.06291059e-02,    0.0792078962,    0.0258821502
    449,    1.74608884,  2.04881368e-02,    0.0792078962,    0.0258821502
    450,    1.74997516,  2.03489803e-02,    0.0792078962,    0.0258821502
    451,    1.75386149,  2.02115717e-02,    0.0792078962,    0.0258821502
    452,    1.75774782,  2.00758465e-02,    0.0792078962,    0.0258821502
    453,    1.76163414,  1.99417404e-02,    0.0792078962,    0.0258821502
    454,    1.76552047,  1.98091889e-02,    0.0792078962,    0.0258821502
    455,    1.76940680,  1.96781283e-02,    0.0792078962,    0.0258821502
    456,    1.77329312,  1.95484948e-02,    0.0792078962,    0.0258821502
    457,    1.77717945,  1.94202254e-02,    0.0792078962,    0.0258821502
    458,    1.78106577,  1.92932574e-02,    0.0792078962,    0.0258821502
    459,    1.78495210,  1.91675291e-02,    0.0792078962,    0.0258821502
    460,    1.78883843,  1.90429791e-02,    0.0792078962,    0.0258821502
    461,    1.79272475,  1.89195471e-02,    0.0792078962,    0.0258821502
    462,    1.79661108,  1.87971737e-02,    0.0792078962,    0.0258821502
    463,    1.80049741,  1.86758002e-02,    0.0792078962,    0.0258821502
    464,    1.80438373,  1.85553691e-02,    0.0792078962,    0.0258821502
    465,    1.80827006,  1.84358240e-02,    0.0792078962,    0.0258821502
    466,    1.81215638,  1.83171097e-02,    0.0792078962,    0.0258821502
    467,    1.81604271,  1.81991720e-02,    0.0792078962,    0.0258821502
    468,    1.81992904,  1.80819580e-02,    0.0792078962,    0.0258821502
    469,    1.82381536,  1.79654162e-02,    0.0792078962,    0.0258821502
    470,    1.82770169,  1.78494965e-02,    0.0792078962,    0.0258821502
    471,    1.83158802,  1.77341499e-02,    0.0792078962,    0.0258821502
    472,    1.83547434,  1.76193292e-02,    0.0792078962,    0.0258821502
    473,    1.83936067,  1.75049883e-02,    0.0792078962,    0.0258821502
    474,    1.84324699,  1.73910828e-02,    0.0792078962,    0.0258821502
    475,    1.84713332,  1.72775697e-02,    0.0792078962,    0.0258821502
    476,    1.85101965,  1.71644076e-02,    0.0792078962,    0.0258821502
    477,    1.85490597,  1.70515566e-02,    0.0792078962,    0.0258821502
    478,    1.85879230,  1.69389783e-02,    0.0792078962,    0.0258821502
    479,    1.86267863,  1.68266359e-02,    0.0792078962,    0.0258821502
    480,    1.86656495,  1.67144943e-02,    0.0792078962,    0.0258821502
    481,    1.87045128,  1.66025199e-02,    0.0792078962,    0.0258821502
    482,    1.87433761,  1.64906805e-02,    0.0792078962,    0.0258821502
    483,    1.87822393,  1.63789457e-02,    0.0792078962,    0.0258821502
    484,    1.88211026,  1.62672866e-02,    0.0792078962,    0.0258821502
    485,    1.88599658,  1.61556759e-02,    0.0792078962,    0.0258821502
    486,    1.88988291,  1.60440878e-02,    0.0792078962,    0.0258821502
    487,    1.89376924,  1.59324981e-02,    0.0792078962,    0.0258821502
    488,    1.89765556,  1.58208841e-02,    0.0792078962,    0.0258821502
    489,    1.90154189,  1.57092246e-02,    0.0792078962,    0.0258821502
    490,    1.90542822,  1.55975000e-02,    0.0792078962,    0.0258821502
    491,    1.90931454,  1.54856920e-02,    0.0792078962,    0.0258821502
    492,    1.91320087,  1.53737839e-02,    0.0792078962,    0.0258821502
    493,    1.91708719,  1.52617604e-02,    0.0792078962,    0.0258821502
    494,    1.92097352,  1.51496076e-02,    0.0792078962,    0.0258821502
    495,    1.92485985,  1.50373131e-02,    0.0792078962,    0.0258821502
    496,    1.92874617,  1.49248656e-02,    0.0792078962,    0.0258821502
    497,    1.93263250,  1.48122554e-02,    0.0792078962,    0.0258821502
    498,    1.93651883,  1.46994739e-02,    0.0792078962,    0.0258821502
    499,    1.94040515,  1.45865140e-02,    0.0792078962,    0.0258821502
    500,    1.94429148,  1.44733697e-02,    0.0792078962,    0.0258821502
    501,    1.94817781,  1.43600361e-02,    0.0792078962,    0.0258821502
    502,    1.95206413,  1.42465098e-02,    0.0792078962,    0.0258821502
    503,    1.95595046,  1.41327883e-02,    0.0792078962,    0.0258821502
    504,    1.95983678,  1.40188702e-02,    0.0792078962,    0.0258821502
    505,    1.96372311,  1.39047553e-02,    0.0792078962,    0.0258821502
    506,    1.96760944,  1.37904446e-02,    0.0792078962,    0.0258821502
    507,    1.97149576,  1.36759397e-02,    0.0792078962,    0.0258821502
    508,    1.97538209,  1.35612436e-02,    0.0792078962,    0.0258821502
    509,    1.97926842,  1.34463600e-02,    0.0792078962,    0.0258821502
    510,    1.98315474,  1.33312937e-02,    0.0792078962,    0.0258821502
    511,    1.98704107,  1.32160502e-02,    0.0792078962,    0.0258821502
    512,    1.99092739,  1.31006360e-02,    0.0792078962,    0.0258821502
    513,    1.99481372,  1.29850583e-02,    0.0792078962,    0.0258821502
    514,    1.99870005,  1.28693252e-02,    0.0792078962,    0.0258821502
    515,    2.00258637,  1.27534455e-02,    0.0792078962,    0.0258821502
    516,    2.00647270,  1.26374287e-02,    0.0792078962,    0.0258821502
    517,    2.01035903,  1.25212850e-02,    0.0792078962,    0.0258821502
    518,    2.01424535,  1.24050253e-02,    0.0792078962,    0.0258821502
    519,    2.01813168,  1.22886611e-02,    0.0792078962,    0.0258821502
    520,    2.02201800,  1.21722044e-02,    0.0792078962,    0.0258821502
    521,    2.02590433,  1.20556679e-02,    0.0792078962,    0.0258821502
    522,    2.02979066,  1.19390648e-02,    0.0792078962,    0.0258821502
    523,    2.03367698,  1.18224087e-02,    0.0792078962,    0.0258821502
    524,    2.03756331,  1.17057138e-02,    0.0792078962,    0.0258821502
    525,    2.04144964,  1.15889946e-02,    0.0792078962,    0.0258821502
    526,    2.04533596,  1.14722662e-02,    0.0792078962,    0.0258821502
    527,    2.04922229,  1.13555439e-02,    0.0792078962,    0.0258821502
    528,    2.05310862,  1.12388434e-02,    0.0792078962,    0.0258821502
    529,    2.05699494,  1.11221809e-02,    0.0792078962,    0.0258821502
    530,    2.06088127,  1.10055726e-02,    0.0792078962,    0.0258821502
    531,    2.06476759,  1.08890352e-02,    0.0792078962,    0.0258821502
    532,    2.06865392,  1.07725855e-02,    0.0792078962,    0.0258821502
    533,    2.07254025,  1.06562408e-02,    0.0792078962,    0.0258821502
    534,    2.07642657,  1.05400182e-02,    0.0792078962,    0.0258821502
    535,    2.08031290,  1.04239352e-02,    0.0792078962,    0.0258821502
    536,    2.08419923,  1.03080095e-02,    0.0792078962,    0.0258821502
    537,    2.08808555,  1.01922588e-02,    0.0792078962,    0.0258821502
    538,    2.09197188,  1.00767010e-02,    0.0792078962,    0.0258821502
    539,    2.09585820,  9.96135397e-03,    0.0792078962,    0.0258821502
    540,    2.09974453,  9.84623573e-03,    0.0792078962,    0.0258821502
    541,    2.10363086,  9.73136431e-03,    0.0792078962,    0.0258821502
    542,    2.10751718,  9.61675777e-03,    0.0792078962,    0.0258821502
    543,    2.11140351,  9.50243416e-03,    0.0792078962,    0.0258821502
    544,    2.11528984,  9.38841151e-03,    0.0792078962,    0.0258821502
    545,    2.11917616,  9.27470782e-03,    0.0792078962,    0.0258821502
    546,    2.12306249,  9.16134102e-03,    0.0792078962,    0.0258821502
    547,    2.12694882,  9.04832897e-03,    0.0792078962,    0.0258821502
    548,    2.13083514,  8.93568946e-03,    0.0792078962,    0.0258821502
    549,    2.13472147,  8.82344013e-03,    0.0792078962,    0.0258821502
    550,    2.13860779,  8.71159853e-03,    0.0792078962,    0.0258821502
    551,    2.14249412,  8.60018206e-03,    0.0792078962,    0.0258821502
    552,    2.14638045,  8.48920796e-03,    0.0792078962,    0.0258821502
    553,    2.15026677,  8.37869332e-03,    0.0792078962,    0.0258821502
    554,    2.15415310,  8.26865501e-03,    0.0792078962,    0.0258821502
    555,    2.15803943,  8.15910975e-03,    0.0792078962,    0.0258821502
    556,    2.16192575,  8.05007402e-03,    0.0792078962,    0.0258821502
    557,    2.16581208,  7.94156409e-03,    0.0792078962,    0.0258821502
    558,    2.16969840,  7.83359600e-03,    0.0792078962,    0.0258821502
    559,    2.17358473,  7.72618553e-03,    0.0792078962,    0.0258821502
    560,    2.17747106,  7.61934823e-03,    0.0792078962,    0.0258821502
    561,    2.18135738,  7.51309937e-03,    0.0792078962,    0.0258821502
    562,    2.18524371,  7.40745395e-03,    0.0792078962,    0.0258821502
    563,    2.18913004,  7.30242667e-03,    0.0792078962,    0.0258821502
    564,    2.19301636,  7.19803196e-03,    0.0792078962,    0.0258821502
    565,    2.19690269,  7.09428395e-03,    0.0792078962,    0.0258821502
    566,    2.20078901,  6.99119643e-03,    0.0792078962,    0.0258821502
    567,    2.20467534,  6.88878290e-03,    0.0792078962,    0.0258821502
    568,    2.20856167,  6.78705653e-03,    0.0792078962,    0.0258821502
    569,    2.21244799,  6.68603017e-03,    0.0792078962,    0.0258821502
    570,    2.21633432,  6.58571631e-03,    0.0792078962,    0.0258821502
    571,    2.22022065,  6.48612712e-03,    0.0792078962,    0.0258821502
    572,    2.22410697,  6.38727440e-03,    0.0792078962,    0.0258821502
    573,    2.22799330,  6.28916964e-03,    0.0792078962,    0.0258821502
    574,    2.23187963,  6.19182392e-03,    0.0792078962,    0.0258821502
    575,    2.23576595,  6.09524799e-03,    0.0792078962,    0.0258821502
    576,    2.23965228,  5.99945225e-03,    0.0792078962,    0.0258821502
    577,    2.24353860,  5.90444669e-03,    0.0792078962,    0.0258821502
    578,    2.24742493,  5.81024098e-03,    0.0792078962,    0.0258821502
    579,    2.25131126,  5.71684437e-03,    0.0792078962,    0.0258821502
    580,    2.25519758,  5.62426578e-03,    0.0792078962,    0.0258821502
    581,    2.25908391,  5.53251372e-03,    0.0792078962,    0.0258821502
    582,    2.26297024,  5.44159634e-03,    0.0792078962,    0.0258821502
    583,    2.26685656,  5.35152140e-03,    0.0792078962,    0.0258821502
    584,    2.27074289,  5.26229630e-03,    0.0792078962,    0.0258821502
    585,    2.27462921,  5.17392804e-03,    0.0792078962,    0.0258821502
    586,    2.27851554,  5.08642326e-03,    0.0792078962,    0.0258821502
    587,    2.28240187,  4.99978820e-03,    0.0792078962,    0.0258821502
    588,    2.28628819,  4.91402875e-03,    0.0792078962,    0.0258821502
    589,    2.29017452,  4.82915040e-03,    0.0792078962,    0.0258821502
    590,    2.29406085,  4.74515827e-03,    0.0792078962,    0.0258821502
    591,    2.29794717,  4.66205710e-03,    0.0792078962,    0.0258821502
    592,    2.30183350,  4.57985128e-03,    0.0792078962,    0.0258821502
    593,    2.30571982,  4.49854481e-03,    0.0792078962,    0.0258821502
    594,    2.30960615,  4.41814133e-03,    0.0792078962,    0.0258821502
    595,    2.31349248,  4.33864411e-03,    0.0792078962,    0.0258821502
    596,    2.31737880,  4.26005606e-03,    0.0792078962,    0.0258821502
    597,    2.32126513,  4.18237973e-03,    0.0792078962,    0.0258821502
    598,    2.32515146,  4.10561733e-03,    0.0792078962,    0.0258821502
    599,    2.32903778,  4.02977069e-03,    0.0792078962,    0.0258821502
    600,    2.33292411,  3.95484132e-03,    0.0792078962,    0.0258821502
    601,    2.33681044,  3.88083037e-03,    0.0792078962,    0.0258821502
    602,    2.34069676,  3.80773865e-03,    0.0792078962,    0.0258821502
    603,    2.34458309,  3.73556664e-03,    0.0792078962,    0.0258821502
    604,    2.34846941,  3.66431449e-03,    0.0792078962,    0.0258821502
    605,    2.35235574,  3.59398202e-03,    0.0792078962,    0.0258821502
    606,    2.35624207,  3.52456874e-03,    0.0792078962,    0.0258821502
    607,    2.36012839,  3.45607383e-03,    0.0792078962,    0.0258821502
    608,    2.36401472,  3.38849616e-03,    0.0792078962,    0.0258821502
    609,    2.36790105,  3.32183432e-03,    0.0792078962,    0.0258821502
    610,    2.37178737,  3.25608656e-03,    0.0792078962,    0.0258821502
    611,    2.37567370,  3.19125088e-03,    0.0792078962,    0.0258821502
    612,    2.37956002,  3.12732495e-03,    0.0792078962,    0.0258821502
    613,    2.38344635,  3.06430620e-03,    0.0792078962,    0.0258821502
    614,    2.38733268,  3.00219175e-03,    0.0792078962,    0.0258821502
    615,    2.39121900,  2.94097847e-03,    0.0792078962,    0.0258821502
    616,    2.39510533,  2.88066295e-03,    0.0792078962,    0.0258821502
    617,    2.39899166,  2.82124154e-03,    0.0792078962,    0.0258821502
    618,    2.40287798,  2.76271034e-03,    0.0792078962,    0.0258821502
    619,    2.40676431,  2.70506519e-03,    0.0792078962,    0.0258821502
    620,    2.41065064,  2.64830170e-03,    0.0792078962,    0.0258821502
    621,    2.41453696,  2.59241524e-03,    0.0792078962,    0.0258821502
    622,    2.41842329,  2.53740099e-03,    0.0792078962,    0.0258821502
    623,    2.42230961,  2.48325386e-03,    0.0792078962,    0.0258821502
    624,    2.42619594,  2.42996858e-03,    0.0792078962,    0.0258821502
    625,    2.43008227,  2.37753969e-03,    0.0792078962,    0.0258821502
    626,    2.43396859,  2.32596148e-03,    0.0792078962,    0.0258821502
    627,    2.43785492,  2.27522811e-03,    0.0792078962,    0.0258821502
    628,    2.44174125,  2.22533351e-03,    0.0792078962,    0.0258821502
    629,    2.44562757,  2.17627144e-03,    0.0792078962,    0.0258821502
    630,    2.44951390,  2.12803552e-03,    0.0792078962,    0.0258821502
    631,    2.45340022,  2.08061917e-03,    0.0792078962,    0.0258821502
    632,    2.45728655,  2.03401566e-03,    0.0792078962,    0.0258821502
    633,    2.46117288,  1.98821812e-03,    0.0792078962,    0.0258821502
    634,    2.46505920,  1.94321952e-03,    0.0792078962,    0.0258821502
    635,    2.46894553,  1.89901271e-03,    0.0792078962,    0.0258821502
    636,    2.47283186,  1.85559040e-03,    0.0792078962,    0.0258821502
    637,    2.47671818,  1.81294516e-03,    0.0792078962,    0.0258821502
    638,    2.48060451,  1.77106947e-03,    0.0792078962,    0.0258821502
    639,    2.48449083,  1.72995568e-03,    0.0792078962,    0.0258821502
    640,    2.48837716,  1.68959603e-03,    0.0792078962,    0.0258821502
    641,    2.49226349,  1.64998267e-03,    0.0792078962,    0.0258821502
    642,    2.49614981,  1.61110766e-03,    0.0792078962,    0.0258821502
    643,    2.50003614,  1.57296296e-03,    0.0792078962,    0.0258821502
    644,    2.50392247,  1.53554046e-03,    0.0792078962,    0.0258821502
    645,    2.50780879,  1.49883196e-03,    0.0792078962,    0.0258821502
    646,    2.51169512,  1.46282922e-03,    0.0792078962,    0.0258821502
    647,    2.51558145,  1.42752389e-03,    0.0792078962,    0.0258821502
    648,    2.51946777,  1.39290761e-03,    0.0792078962,    0.0258821502
    649,    2.52335410,  1.35897194e-03,    0.0792078962,    0.0258821502
    650,    2.52724042,  1.32570840e-03,    0.0792078962,    0.0258821502
    651,    2.53112675,  1.29310846e-03,    0.0792078962,    0.0258821502
    652,    2.53501308,  1.26116357e-03,    0.0792078962,    0.0258821502
    653,    2.53889940,  1.22986514e-03,    0.0792078962,    0.0258821502
    654,    2.54278573,  1.19920455e-03,    0.0792078962,    0.0258821502
    655,    2.54667206,  1.16917317e-03,    0.0792078962,    0.0258821502
    656,    2.55055838,  1.13976235e-03,    0.0792078962,    0.0258821502
    657,    2.55444471,  1.11096341e-03,    0.0792078962,    0.0258821502
    658,    2.55833103,  1.08276770e-03,    0.0792078962,    0.0258821502
    659,    2.56221736,  1.05516655e-03,    0.0792078962,    0.0258821502
    660,    2.56610369,  1.02815127e-03,    0.0792078962,    0.0258821502
    661,    2.56999001,  1.00171321e-03,    0.0792078962,    0.0258821502
    662,    2.57387634,  9.75843728e-04,    0.0792078962,    0.0258821502
    663,    2.57776267,  9.50534174e-04,    0.0792078962,    0.0258821502
    664,    2.58164899,  9.25775938e-04,    0.0792078962,    0.0258821502
    665,    2.58553532,  9.01560425e-04,    0.0792078962,    0.0258821502
    666,    2.58942164,  8.77879069e-04,    0.0792078962,    0.0258821502
    667,    2.59330797,  8.54723332e-04,    0.0792078962,    0.0258821502
    668,    2.59719430,  8.32084714e-04,    0.0792078962,    0.0258821502
    669,    2.60108062,  8.09954749e-04,    0.0792078962,    0.0258821502
    670,    2.60496695,  7.88325014e-04,    0.0792078962,    0.0258821502
    671,    2.60885328,  7.67187127e-04,    0.0792078962,    0.0258821502
    672,    2.61273960,  7.46532756e-04,    0.0792078962,    0.0258821502
    673,    2.61662593,  7.26353617e-04,    0.0792078962,    0.0258821502
    674,    2.62051226,  7.06641480e-04,    0.0792078962,    0.0258821502
    675,    2.62439858,  6.87388169e-04,    0.0792078962,    0.0258821502
    676,    2.62828491,  6.68585568e-04,    0.0792078962,    0.0258821502
    677,    2.63217123,  6.50225619e-04,    0.0792078962,    0.0258821502
    678,    2.63605756,  6.32300330e-04,    0.0792078962,    0.0258821502
    679,    2.63994389,  6.14801772e-04,    0.0792078962,    0.0258821502
    680,    2.64383021,  5.97722083e-04,    0.0792078962,    0.0258821502
    681,    2.64771654,  5.81053473e-04,    0.0792078962,    0.0258821502
    682,    2.65160287,  5.64788221e-04,    0.0792078962,    0.0258821502
    683,    2.65548919,  5.48918681e-04,    0.0792078962,    0.0258821502
    684,    2.65937552,  5.33437282e-04,    0.0792078962,    0.0258821502
    685,    2.66326184,  5.18336527e-04,    0.0792078962,    0.0258821502
    686,    2.66714817,  5.03609000e-04,    0.0792078962,    0.0258821502
    687,    2.67103450,  4.89247365e-04,    0.0792078962,    0.0258821502
    688,    2.67492082,  4.75244365e-04,    0.0792078962,    0.0258821502
    689,    2.67880715,  4.61592827e-04,    0.0792078962,    0.0258821502
    690,    2.68269348,  4.48285660e-04,    0.0792078962,    0.0258821502
    691,    2.68657980,  4.35315859e-04,    0.0792078962,    0.0258821502
    692,    2.69046613,  4.22676505e-04,    0.0792078962,    0.0258821502
    693,    2.69435246,  4.10360763e-04,    0.0792078962,    0.0258821502
    694,    2.69823878,  3.98361888e-04,    0.0792078962,    0.0258821502
    695,    2.70212511,  3.86673221e-04,    0.0792078962,    0.0258821502
    696,    2.70601143,  3.75288194e-04,    0.0792078962,    0.0258821502
    697,    2.70989776,  3.64200327e-04,    0.0792078962,    0.0258821502
    698,    2.71378409,  3.53403228e-04,    0.0792078962,    0.0258821502
    699,    2.71767041,  3.42890599e-04,    0.0792078962,    0.0258821502
    700,    2.72155674,  3.32656230e-04,    0.0792078962,    0.0258821502
    701,    2.72544307,  3.22694002e-04,    0.0792078962,    0.0258821502
    702,    2.72932939,  3.12997889e-04,    0.0792078962,    0.0258821502
    703,    2.73321572,  3.03561955e-04,    0.0792078962,    0.0258821502
    704,    2.73710204,  2.94380354e-04,    0.0792078962,    0.0258821502
    705,    2.74098837,  2.85447334e-04,    0.0792078962,    0.0258821502
    706,    2.74487470,  2.76757232e-04,    0.0792078962,    0.0258821502
    707,    2.74876102,  2.68304479e-04,    0.0792078962,    0.0258821502
    708,    2.75264735,  2.60083594e-04,    0.0792078962,    0.0258821502
    709,    2.75653368,  2.52089189e-04,    0.0792078962,    0.0258821502
    710,    2.76042000,  2.44315966e-04,    0.0792078962,    0.0258821502
    711,    2.76430633,  2.36758717e-04,    0.0792078962,    0.0258821502
    712,    2.76819265,  2.29412325e-04,    0.0792078962,    0.0258821502
    713,    2.77207898,  2.22271762e-04,    0.0792078962,    0.0258821502
    714,    2.77596531,  2.15332088e-04,    0.0792078962,    0.0258821502
    715,    2.77985163,  2.08588454e-04,    0.0792078962,    0.0258821502
    716,    2.78373796,  2.02036098e-04,    0.0792078962,    0.0258821502
    717,    2.78762429,  1.95670344e-04,    0.0792078962,    0.0258821502
    718,    2.79151061,  1.89486606e-04,    0.0792078962,    0.0258821502
    719,    2.79539694,  1.83480382e-04,    0.0792078962,    0.0258821502
    720,    2.79928327,  1.77647257e-04,    0.0792078962,    0.0258821502
    721,    2.80316959,  1.71982899e-04,    0.0792078962,    0.0258821502
    722,    2.80705592,  1.66483063e-04,    0.0792078962,    0.0258821502
    723,    2.81094224,  1.61143584e-04,    0.0792078962,    0.0258821502
    724,    2.81482857,  1.55960384e-04,    0.0792078962,    0.0258821502
    725,    2.81871490,  1.50929463e-04,    0.0792078962,    0.0258821502
    726,    2.82260122,  1.46046903e-04,    0.0792078962,    0.0258821502
    727,    2.82648755,  1.41308867e-04,    0.0792078962,    0.0258821502
    728,    2.83037388,  1.36711597e-04,    0.0792078962,    0.0258821502
    729,    2.83426020,  1.32251412e-04,    0.0792078962,    0.0258821502
    730,    2.83814653,  1.27924710e-04,    0.0792078962,    0.0258821502
    731,    2.84203285,  1.23727966e-04,    0.0792078962,    0.0258821502
    732,    2.84591918,  1.19657727e-04,    0.0792078962,    0.0258821502
    733,    2.84980551,  1.15710619e-04,    0.0792078962,    0.0258821502
    734,    2.85369183,  1.11883339e-04,    0.0792078962,    0.0258821502
    735,    2.85757816,  1.08172656e-04,    0.0792078962,    0.0258821502
    736,    2.86146449,  1.04575413e-04,    0.0792078962,    0.0258821502
    737,    2.86535081,  1.01088522e-04,    0.0792078962,    0.0258821502
    738,    2.86923714,  9.77089636e-05,    0.0792078962,    0.0258821502
    739,    2.87312346,  9.44337891e-05,    0.0792078962,    0.0258821502
    740,    2.87700979,  9.12601159e-05,    0.0792078962,    0.0258821502
    741,    2.88089612,  8.81851282e-05,    0.0792078962,    0.0258821502
    742,    2.88478244,  8.52060757e-05,    0.0792078962,    0.0258821502
    743,    2.88866877,  8.23202722e-05,    0.0792078962,    0.0258821502
    744,    2.89255510,  7.95250951e-05,    0.0792078962,    0.0258821502
    745,    2.89644142,  7.68179838e-05,    0.0792078962,    0.0258821502
    746,    2.90032775,  7.41964393e-05,    0.0792078962,    0.0258821502
    747,    2.90421408,  7.16580225e-05,    0.0792078962,    0.0258821502
    748,    2.90810040,  6.92003535e-05,    0.0792078962,    0.0258821502
    749,    2.91198673,  6.68211106e-05,    0.0792078962,    0.0258821502
    750,    2.91587305,  6.45180291e-05,    0.0792078962,    0.0258821502
    751,    2.91975938,  6.22889004e-05,    0.0792078962,    0.0258821502
    752,    2.92364571,  6.01315709e-05,    0.0792078962,    0.0258821502
    753,    2.92753203,  5.80439410e-05,    0.0792078962,    0.0258821502
    754,    2.93141836,  5.60239640e-05,    0.0792078962,    0.0258821502
    755,    2.93530469,  5.40696452e-05,    0.0792078962,    0.0258821502
    756,    2.93919101,  5.21790409e-05,    0.0792078962,    0.0258821502
    757,    2.94307734,  5.03502574e-05,    0.0792078962,    0.0258821502
    758,    2.94696366,  4.85814498e-05,    0.0792078962,    0.0258821502
    759,    2.95084999,  4.68708212e-05,    0.0792078962,    0.0258821502
    760,    2.95473632,  4.52166220e-05,    0.0792078962,    0.0258821502
    761,    2.95862264,  4.36171483e-05,    0.0792078962,    0.0258821502
    762,    2.96250897,  4.20707415e-05,    0.0792078962,    0.0258821502
    763,    2.96639530,  4.05757872e-05,    0.0792078962,    0.0258821502
    764,    2.97028162,  3.91307139e-05,    0.0792078962,    0.0258821502
    765,    2.97416795,  3.77339927e-05,    0.0792078962,    0.0258821502
    766,    2.97805428,  3.63841361e-05,    0.0792078962,    0.0258821502
    767,    2.98194060,  3.50796968e-05,    0.0792078962,    0.0258821502
    768,    2.98582693,  3.38192673e-05,    0.0792078962,    0.0258821502
    769,    2.98971325,  3.26014787e-05,    0.0792078962,    0.0258821502
    770,    2.99359958,  3.14250001e-05,    0.0792078962,    0.0258821502
    771,    2.99748591,  3.02885374e-05,    0.0792078962,    0.0258821502
    772,    3.00137223,  2.91908326e-05,    0.0792078962,    0.0258821502
    773,    3.00525856,  2.81306632e-05,    0.0792078962,    0.0258821502
