Iter, Time, Residual(RHO), CL, CD
     89,    0.34761989,  1.78473265e-01,    0.0775226648,    0.0257513664
     90,    0.35148028,  1.77387309e-01,    0.0775278719,    0.0257718656
     91,    0.35534145,  1.76319687e-01,    0.0775312751,    0.0257914885
     92,    0.35920338,  1.75270235e-01,    0.0775329134,    0.0258102228
     93,    0.36306607,  1.74238782e-01,    0.0775328352,    0.0258280601
     94,    0.36692949,  1.73225141e-01,    0.0775310985,    0.0258449959
     95,    0.37079365,  1.72229134e-01,    0.0775277718,    0.0258610295
     96,    0.37465852,  1.71250522e-01,    0.0775229339,    0.0258761641
     97,    0.37852411,  1.70289054e-01,    0.0775166747,    0.0258904064
     98,    0.38239039,  1.69344449e-01,    0.0775090941,    0.0259037668
     99,    0.38625736,  1.68416396e-01,    0.0775003021,    0.0259162591
    100,    0.39012501,  1.67504548e-01,    0.0774904177,    0.0259279001
    101,    0.39399332,  1.66608511e-01,    0.0774795677,    0.0259387096
    102,    0.39786229,  1.65727730e-01,    0.0774678858,    0.0259487098
    103,    0.40173190,  1.64861794e-01,    0.0774555111,    0.0259579254
    104,    0.40560214,  1.64010819e-01,    0.0774425862,    0.0259663827
    105,    0.40947300,  1.63173865e-01,    0.0774292557,    0.0259741100
    106,    0.41334447,  1.62350410e-01,    0.0774156645,    0.0259811364
    107,    0.41721653,  1.61539987e-01,    0.0774019559,    0.0259874921
    108,    0.42108917,  1.60742122e-01,    0.0773882703,    0.0259932080
    109,    0.42496239,  1.59956345e-01,    0.0773747432,    0.0259983152
    110,    0.42883615,  1.59182188e-01,    0.0773615041,    0.0260028447
    111,    0.43271047,  1.58419199e-01,    0.0773486753,    0.0260068274
    112,    0.43658531,  1.57666937e-01,    0.0773363707,    0.0260102939
    113,    0.44046067,  1.56924985e-01,    0.0773246950,    0.0260132740
    114,    0.44433653,  1.56192945e-01,    0.0773137432,    0.0260157969
    115,    0.44821287,  1.55470447e-01,    0.0773036000,    0.0260178907
    116,    0.45208969,  1.54757147e-01,    0.0772943396,    0.0260195828
    117,    0.45596698,  1.54052727e-01,    0.0772860255,    0.0260208992
    118,    0.45984470,  1.53356883e-01,    0.0772787112,    0.0260218652
    119,    0.46372286,  1.52669326e-01,    0.0772724397,    0.0260225046
    120,    0.46760144,  1.51989837e-01,    0.0772672443,    0.0260228402
    121,    0.47148042,  1.51318228e-01,    0.0772631490,    0.0260228937
    122,    0.47535978,  1.50654314e-01,    0.0772601693,    0.0260226855
    123,    0.47923953,  1.49997930e-01,    0.0772583124,    0.0260222350
    124,    0.48311963,  1.49348926e-01,    0.0772575784,    0.0260215605
    125,    0.48700008,  1.48707169e-01,    0.0772579607,    0.0260206792
    126,    0.49088086,  1.48072534e-01,    0.0772594466,    0.0260196074
    127,    0.49476196,  1.47444905e-01,    0.0772620186,    0.0260183604
    128,    0.49864336,  1.46824170e-01,    0.0772656543,    0.0260169526
    129,    0.50252506,  1.46210220e-01,    0.0772703279,    0.0260153975
    130,    0.50640704,  1.45602944e-01,    0.0772760102,    0.0260137079
    131,    0.51028928,  1.45002232e-01,    0.0772826696,    0.0260118956
    132,    0.51417178,  1.44408001e-01,    0.0772902724,    0.0260099720
    133,    0.51805452,  1.43820110e-01,    0.0772987835,    0.0260079477
    134,    0.52193749,  1.43237784e-01,    0.0773081666,    0.0260058327
    135,    0.52582068,  1.42660743e-01,    0.0773183849,    0.0260036363
    136,    0.52970407,  1.42089454e-01,    0.0773294013,    0.0260013674
    137,    0.53358766,  1.41523777e-01,    0.0773411788,    0.0259990344
    138,    0.53747144,  1.40963561e-01,    0.0773536805,    0.0259966451
    139,    0.54135539,  1.40408647e-01,    0.0773668701,    0.0259942070
    140,    0.54523951,  1.39858852e-01,    0.0773807120,    0.0259917269
    141,    0.54912378,  1.39314168e-01,    0.0773951714,    0.0259892117
    142,    0.55300820,  1.38774437e-01,    0.0774102146,    0.0259866674
    143,    0.55689276,  1.38239280e-01,    0.0774258086,    0.0259840999
    144,    0.56077745,  1.37708478e-01,    0.0774419218,    0.0259815149
    145,    0.56466226,  1.37181808e-01,    0.0774585235,    0.0259789174
    146,    0.56854718,  1.36659045e-01,    0.0774755844,    0.0259763124
    147,    0.57243221,  1.36139960e-01,    0.0774930761,    0.0259737045
    148,    0.57631734,  1.35624321e-01,    0.0775109715,    0.0259710981
    149,    0.58020257,  1.35111895e-01,    0.0775292446,    0.0259684973
    150,    0.58408788,  1.34601153e-01,    0.0775478705,    0.0259659058
    151,    0.58797327,  1.34091328e-01,    0.0775668255,    0.0259633273
    152,    0.59185873,  1.33583793e-01,    0.0775860868,    0.0259607651
    153,    0.59574427,  1.33078573e-01,    0.0776056325,    0.0259582224
    154,    0.59962987,  1.32575424e-01,    0.0776254420,    0.0259557020
    155,    0.60351553,  1.32073888e-01,    0.0776454951,    0.0259532067
    156,    0.60740125,  1.31573899e-01,    0.0776657729,    0.0259507391
    157,    0.61128702,  1.31075257e-01,    0.0776862570,    0.0259483013
    158,    0.61517284,  1.30577742e-01,    0.0777069300,    0.0259458957
    159,    0.61905870,  1.30081143e-01,    0.0777277749,    0.0259435241
    160,    0.62294460,  1.29585258e-01,    0.0777487756,    0.0259411885
    161,    0.62683054,  1.29089895e-01,    0.0777699164,    0.0259388903
    162,    0.63071651,  1.28594872e-01,    0.0777911824,    0.0259366312
    163,    0.63460251,  1.28100024e-01,    0.0778125591,    0.0259344126
    164,    0.63848855,  1.27605196e-01,    0.0778340324,    0.0259322355
    165,    0.64237461,  1.27110248e-01,    0.0778555887,    0.0259301012
    166,    0.64626069,  1.26614990e-01,    0.0778772150,    0.0259280105
    167,    0.65014680,  1.26118864e-01,    0.0778988983,    0.0259259644
    168,    0.65403293,  1.25622319e-01,    0.0779206263,    0.0259239636
    169,    0.65791907,  1.25125273e-01,    0.0779423868,    0.0259220086
    170,    0.66180524,  1.24627663e-01,    0.0779641680,    0.0259201001
    171,    0.66569142,  1.24129444e-01,    0.0779859583,    0.0259182384
    172,    0.66957761,  1.23630587e-01,    0.0780077464,    0.0259164239
    173,    0.67346382,  1.23131080e-01,    0.0780295212,    0.0259146568
    174,    0.67735004,  1.22630928e-01,    0.0780512718,    0.0259129373
    175,    0.68123626,  1.22130150e-01,    0.0780729876,    0.0259112655
    176,    0.68512250,  1.21628779e-01,    0.0780946581,    0.0259096414
    177,    0.68900875,  1.21126863e-01,    0.0781162730,    0.0259080649
    178,    0.69289501,  1.20624459e-01,    0.0781378222,    0.0259065359
    179,    0.69678127,  1.20121639e-01,    0.0781592956,    0.0259050542
    180,    0.70066754,  1.19618482e-01,    0.0781806836,    0.0259036196
    181,    0.70455381,  1.19115080e-01,    0.0782019764,    0.0259022318
    182,    0.70844009,  1.18611529e-01,    0.0782231647,    0.0259008904
    183,    0.71232638,  1.18107930e-01,    0.0782442389,    0.0258995950
    184,    0.71621267,  1.17604390e-01,    0.0782651901,    0.0258983451
    185,    0.72009896,  1.17101023e-01,    0.0782860092,    0.0258971404
    186,    0.72398526,  1.16597945e-01,    0.0783066874,    0.0258959802
